Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
National,National,2020,4,842,964,1196,1607,1872,0,1.4
Alabama,State,2020,4,629,685,832,1111,1293,0,2.6
Alaska,State,2020,4,820,937,1199,1694,2034,0.2,1
Arizona,State,2020,4,739,873,1103,1595,1850,-0.2,2.8
Arkansas,State,2020,4,531,578,730,989,1159,0.1,0.7
California,State,2020,4,1237,1456,1856,2571,2987,-0.1,1.3
Colorado,State,2020,4,888,1045,1325,1909,2238,-0.1,1
Connecticut,State,2020,4,906,1084,1358,1725,1994,0.1,1.2
Delaware,State,2020,4,892,1029,1254,1656,1881,0.2,3.9
District of Columbia,State,2020,4,1437,1510,1742,2295,2849,-0.1,1.7
Florida,State,2020,4,848,984,1227,1662,1996,-0.2,1.5
Georgia,State,2020,4,833,882,1040,1381,1677,-0.1,0.7
Idaho,State,2020,4,581,662,856,1204,1463,0.1,2.2
Illinois,State,2020,4,793,915,1097,1412,1671,0.1,1
Indiana,State,2020,4,570,663,833,1096,1238,0,1.4
Iowa,State,2020,4,523,606,775,1040,1164,0,0.9
Kansas,State,2020,4,574,673,862,1169,1348,0,1.8
Kentucky,State,2020,4,541,608,773,1054,1214,0.1,0.4
Louisiana,State,2020,4,595,684,831,1075,1258,0,-0.7
Maine,State,2020,4,708,777,965,1271,1420,0.2,1.9
Maryland,State,2020,4,1127,1265,1524,1987,2405,0,0.7
Massachusetts,State,2020,4,1154,1322,1643,2062,2293,0,1.6
Michigan,State,2020,4,612,725,928,1243,1368,0,1.1
Minnesota,State,2020,4,710,862,1095,1521,1780,0,1.3
Mississippi,State,2020,4,584,664,809,1068,1208,0,0.8
Missouri,State,2020,4,578,666,852,1151,1320,0.1,1.1
Montana,State,2020,4,559,623,791,1104,1318,0.1,0.8
Nebraska,State,2020,4,541,660,844,1135,1277,0.2,1.3
Nevada,State,2020,4,742,904,1135,1647,1982,-0.3,1.9
New Hampshire,State,2020,4,936,1051,1341,1764,1973,0,2.1
New Jersey,State,2020,4,1101,1262,1549,2003,2313,-0.1,1.2
New Mexico,State,2020,4,580,680,837,1168,1382,0.1,1.4
New York,State,2020,4,1173,1296,1542,1982,2183,0,1.3
North Carolina,State,2020,4,712,772,929,1250,1508,-0.2,1.8
North Dakota,State,2020,4,532,583,750,1055,1210,0,2.3
Ohio,State,2020,4,577,668,858,1137,1273,0.1,1.5
Oklahoma,State,2020,4,536,604,776,1052,1223,0.1,1.1
Oregon,State,2020,4,878,986,1210,1754,2106,0,0.6
Pennsylvania,State,2020,4,714,830,1028,1307,1438,0,1
Rhode Island,State,2020,4,862,977,1182,1498,1795,0.2,1.5
South Carolina,State,2020,4,685,780,936,1244,1499,0,1.3
South Dakota,State,2020,4,490,568,727,993,1128,0.1,0.5
Tennessee,State,2020,4,629,711,878,1171,1378,0,2.2
Texas,State,2020,4,745,859,1069,1442,1777,-0.1,1.3
Utah,State,2020,4,669,805,996,1430,1668,-0.1,1.7
Vermont,State,2020,4,865,973,1228,1624,1785,0,0.5
Virginia,State,2020,4,1017,1072,1266,1695,2075,0.1,1.4
Washington,State,2020,4,1031,1183,1482,2134,2528,0.1,1.5
West Virginia,State,2020,4,543,606,736,975,1106,0,0.5
Wisconsin,State,2020,4,588,688,873,1157,1297,0.1,1.3
Wyoming,State,2020,4,556,623,800,1088,1287,0.1,1.8
"Abilene, TX",City,2020,4,605,659,875,1095,1458,0.3,1
"Acworth, GA",City,2020,4,893,936,1081,1420,1745,0.2,2
"Adelanto, CA",City,2020,4,856,1024,1280,1799,2216,0,-0.3
"Aiken, SC",City,2020,4,644,708,853,1161,1504,0.3,1.2
"Albany, NY",City,2020,4,752,891,1097,1372,1511,-0.2,-0.2
"Albany, OR",City,2020,4,654,779,1025,1492,1750,0.1,1.2
"Albuquerque, NM",City,2020,4,563,724,888,1292,1564,0.1,1.2
"Alexandria, VA",City,2020,4,1566,1644,1900,2505,3107,0.1,2
"Allen, TX",City,2020,4,1058,1261,1567,2124,2706,0,0.7
"Alpharetta, GA",City,2020,4,1205,1263,1459,1916,2355,-0.4,-0.9
"Altamonte Springs, FL",City,2020,4,960,1049,1257,1672,2011,-0.6,-1.3
"Amarillo, TX",City,2020,4,534,642,841,1105,1325,-0.2,-0.1
"Amelia, OH",City,2020,4,543,633,832,1162,1357,0,0.7
"Ames, IA",City,2020,4,646,813,988,1358,1632,-0.1,-1.3
"Anaheim, CA",City,2020,4,1411,1679,2157,2932,3233,-0.2,1.2
"Anchorage, AK",City,2020,4,743,857,1098,1599,1935,0.2,1.3
"Anderson, IN",City,2020,4,625,720,898,1200,1378,0,2.1
"Ann Arbor, MI",City,2020,4,1018,1084,1307,1795,2252,0,0.4
"Anniston, AL",City,2020,4,303,329,437,568,637,0.1,0.1
"Anoka, MN",City,2020,4,785,968,1221,1729,2022,-0.1,1
"Apache Junction, AZ",City,2020,4,482,585,729,1061,1231,0,1.3
"Apopka, FL",City,2020,4,882,963,1154,1535,1847,0.2,0.4
"Apple Valley, CA",City,2020,4,772,924,1156,1624,2001,0.1,0.8
"Arlington, TX",City,2020,4,855,1019,1266,1716,2186,0,2
"Arlington, VA",City,2020,4,1765,1853,2141,2824,3502,-0.1,2.8
"Arvada, CO",City,2020,4,1020,1246,1577,2291,2654,-0.2,3
"Ashland, OR",City,2020,4,661,695,925,1347,1543,0,0
"Athens, GA",City,2020,4,730,813,952,1293,1650,0.1,4.1
"Atlanta, GA",City,2020,4,986,1034,1195,1569,1928,-0.4,-0.2
"Auburn Hills, MI",City,2020,4,772,933,1214,1612,1749,0.2,1.4
"Auburn, WA",City,2020,4,1200,1374,1711,2484,2954,0.2,1
"Audubon, NJ",City,2020,4,740,879,1061,1328,1477,0,1
"Augusta, GA",City,2020,4,607,667,804,1094,1417,0.1,4
"Aurora, CO",City,2020,4,1025,1252,1584,2302,2666,0.1,0.4
"Aurora, IL",City,2020,4,976,1132,1332,1704,2027,-0.5,0.6
"Austell, GA",City,2020,4,910,955,1103,1448,1779,0.5,1.6
"Austin, TX",City,2020,4,982,1191,1470,1991,2396,-0.3,2.5
"Avondale, AZ",City,2020,4,852,1035,1290,1878,2178,-0.2,3.3
"Bakersfield, CA",City,2020,4,707,737,957,1385,1668,0.1,1.5
"Balch Springs, TX",City,2020,4,703,837,1041,1411,1797,-0.4,2.7
"Ballwin, MO",City,2020,4,933,1057,1373,1818,2122,0.2,2.3
"Baltimore, MD",City,2020,4,783,951,1193,1533,1796,0,0.9
"Baton Rouge, LA",City,2020,4,634,775,898,1137,1427,0.1,-1.1
"Battle Creek, MI",City,2020,4,561,698,871,1154,1264,-0.2,1.1
"Bay City, MI",City,2020,4,467,560,736,969,1014,0.1,-0.8
"Bay Shore, NY",City,2020,4,1351,1500,1787,2304,2566,0,1.4
"Baytown, TX",City,2020,4,770,873,1069,1457,1852,0.3,0.8
"Beaverton, OR",City,2020,4,1401,1559,1839,2678,3241,-0.3,3.1
"Bedford, OH",City,2020,4,516,618,769,1011,1071,0,-0.3
"Belleville, IL",City,2020,4,650,738,958,1268,1480,-0.1,0.1
"Belleville, MI",City,2020,4,777,887,1129,1533,1723,0.4,3.8
"Bellevue, WA",City,2020,4,1708,1955,2435,3534,4204,0,2.9
"Bellflower, CA",City,2020,4,1136,1352,1737,2361,2603,0.1,-0.1
"Belmont, CA",City,2020,4,2350,2889,3629,4882,5806,0.3,3
"Belton, MO",City,2020,4,689,872,1069,1462,1654,0,-1
"Bend, OR",City,2020,4,788,864,1010,1450,1779,0.1,3.1
"Benicia, CA",City,2020,4,1063,1325,1657,2412,2921,0,-0.6
"Bentonville, AR",City,2020,4,624,662,855,1228,1494,0.2,0
"Bethany, OK",City,2020,4,617,683,874,1198,1462,0.3,-0.6
"Biloxi, MS",City,2020,4,670,703,812,1139,1361,0.1,2.4
"Binghamton, NY",City,2020,4,655,720,925,1251,1438,-0.2,1.1
"Birmingham, AL",City,2020,4,746,839,971,1305,1464,0,2.9
"Bismarck, ND",City,2020,4,582,595,786,1092,1377,0.2,-1.1
"Bloomington, IL",City,2020,4,545,599,791,1070,1356,-0.1,-0.3
"Bloomington, IN",City,2020,4,697,750,956,1277,1615,0,1.5
"Blue Springs, MO",City,2020,4,718,909,1115,1524,1725,0.2,1.1
"Bluffton, SC",City,2020,4,1087,1164,1343,1759,2289,-0.4,-1.5
"Boca Raton, FL",City,2020,4,1213,1500,1902,2619,3154,-1.7,2.2
"Boise, ID",City,2020,4,605,743,953,1379,1624,0.1,3.5
"Bolingbrook, IL",City,2020,4,1131,1312,1544,1974,2350,0.8,0.2
"Bossier City, LA",City,2020,4,638,779,907,1155,1285,-0.7,-2.5
"Boston, MA",City,2020,4,1503,1714,2126,2671,2944,0,0.5
"Bowie, MD",City,2020,4,2044,2147,2480,3271,4057,-0.4,2.1
"Bowling Green, KY",City,2020,4,524,569,721,988,1183,0.1,-1.8
"Bradenton, FL",City,2020,4,884,951,1222,1676,2037,-0.2,1
"Brandon, FL",City,2020,4,900,1027,1279,1691,2028,-0.2,1.1
